Timestamp,Air Temperature (IW),Relative Humidity (IW),Soil Moisture (IW),Soil Temperature (IW),Berry Temperature
2025-07-16 00:00:00,20,0.4705,9.035,22.05,19.39
2025-07-16 00:15:00,19.6,0.479,9.01,21.9,18.99
2025-07-16 00:30:00,19.1,0.489,9.025,21.75,18.75
2025-07-16 00:45:00,18.6,0.5,9.02,21.5,18.28
2025-07-16 01:00:00,18.4,0.504,9.02,21.3,18.31
2025-07-16 01:15:00,18.2,0.508,9.02,21.1,17.92
2025-07-16 01:30:00,18,0.512,9.02,20.9,17.905
2025-07-16 01:45:00,18.1,0.506,8.96,20.7,17.89
2025-07-16 02:00:00,18.2,0.507,9.01,20.7,17.74
2025-07-16 02:15:00,17.9,0.51825,8.9925,20.525,17.475
2025-07-16 02:30:00,17.6,0.5295,8.975,20.35,17.5325
2025-07-16 02:45:00,17.5,0.534875,8.97,20.25,17.59
2025-07-16 03:00:00,17.4,0.54025,8.965,20.15,17.345
2025-07-16 03:15:00,17.3,0.545625,8.96,20.05,17.1
2025-07-16 03:30:00,17.2,0.551,8.955,19.95,17.1
2025-07-16 03:45:00,17.3,0.547,8.97,19.8,17.1
2025-07-16 04:00:00,17.4,0.545,8.99,19.8,17.33
2025-07-16 04:15:00,17.125,0.55575,8.9625,19.65,17.41
2025-07-16 04:30:00,16.85,0.5665,8.935,19.5,16.34125
2025-07-16 04:45:00,16.025,0.59775,8.9275,19.25,15.2725
2025-07-16 05:00:00,15.2,0.629,8.92,19,14.20375
2025-07-16 05:15:00,13.3,0.679,8.89,18.4,13.135
2025-07-16 05:30:00,12.3,0.691,8.9,18.1,12.98
2025-07-16 05:45:00,12.8,0.684,8.89333333333333,18.1,12.6
2025-07-16 06:00:00,13.3,0.677,8.88666666666667,18.1,13.24
2025-07-16 06:15:00,13.8,0.67,8.88,18.1,14.01
2025-07-16 06:30:00,15.05,0.6315,8.875,18.15,13.93
2025-07-16 06:45:00,17.275,0.56425,8.9025,18.675,15.15
2025-07-16 07:00:00,19.5,0.497,8.93,19.2,17.54
2025-07-16 07:15:00,20.85,0.48825,8.9075,19.575,19.5
2025-07-16 07:30:00,22.2,0.4795,8.885,19.95,20.175
2025-07-16 07:45:00,23.7,0.424,8.91,20.3,20.85
2025-07-16 08:00:00,23.8,0.443,8.93,20.6,21.63
2025-07-16 08:15:00,23.575,0.42025,8.915,21.425,22.41
2025-07-16 08:30:00,23.35,0.3975,8.9,22.25,22.72
2025-07-16 08:45:00,23.6,0.416,8.99,25,24.24
2025-07-16 09:00:00,24.55,0.386,9.04,27.7,25.505
2025-07-16 09:15:00,25.3,0.363,9.08,30,26.77
2025-07-16 09:30:00,25.35,0.3795,9.14,31.9,27.49
2025-07-16 09:45:00,25.65,0.373,9.2,33.45,28.21
2025-07-16 10:00:00,25.95,0.3665,9.26,35,27.96
2025-07-16 10:15:00,26.1,0.366,9.29,36.2,28.095
2025-07-16 10:30:00,26.7,0.338,9.32,37.4,28.23
2025-07-16 10:45:00,26.7,0.368,9.34,38.5,30.315
2025-07-16 11:00:00,27.1,0.345,9.38,40.1,32.13
2025-07-16 11:15:00,27.3,0.35,9.4,40.7,31.52
2025-07-16 11:30:00,28.2,0.326,9.43,42.1,32.79
2025-07-16 11:45:00,28.5,0.305,9.47,42.6,34.76
2025-07-16 12:00:00,28.55,0.3345,9.45,42.65,34.59
2025-07-16 12:15:00,28.7,0.336,9.37,40.2,33.97
2025-07-16 12:30:00,28.75,0.3175,9.18,36.9,33.52
2025-07-16 12:45:00,28.8,0.35,9.05,34.3,34.21
2025-07-16 13:00:00,28.8,0.346,8.985,32.85,34.9
2025-07-16 13:15:00,28.8,0.316,8.98,31.7,35.19
2025-07-16 13:30:00,29.1,0.327,8.91,31.2,35.845
2025-07-16 13:45:00,29.7,0.338,8.87,31.2,36.5
2025-07-16 14:00:00,30.7,0.306,8.93,32.2,35.99
2025-07-16 14:15:00,30.9,0.326,8.9,31.9,35.48
2025-07-16 14:30:00,31.35,0.3135,8.91,33.2,35.95
2025-07-16 14:45:00,31.8,0.304,8.96,35,36.42
